,body,name,location
0,femur_r,femur_r_center,[0. 0. 0.]
1,femur_r,knee_r_lat,[ 0.00000000000000007 -0.3756144150047758   0.03732375702660638]
2,femur_r,knee_r_med,[ 0.00000000000000005 -0.3774858587349879  -0.03732375702660633]
3,femur_r,gr_troch_as_r,[ 0.00045898368049042 -0.00954637021851107  0.04802981057401935]
4,femur_r,gr_troch_lat_r,[-0.01840446289538843 -0.0133454319850284   0.06030692823700406]
5,femur_r,gr_troch_ps_r,[-0.02648935335715422  0.01229582567658784  0.03715833650351992]
6,femur_r,ls_troch_r,[-0.02800373751438131 -0.04455122616793071  0.01158865991866451]
7,femur_r,knee_r_center_in_femur_r,[ 0.00008228793978736 -0.3765536174467907  -0.00140927123719597]
8,femur_r,femur_r_midshaft_anter,[ 0.01429312461388856 -0.1976028361816047   0.02754113006748632]
9,femur_r,femur_r_midshaft_poster,[-0.00371558951513737 -0.19125386326884222  0.02880221447042325]
10,femur_r,femur_r_anter_diaph_25,[ 0.0024986547962537  -0.09928095149142803  0.03481501309033795]
11,femur_r,femur_r_poster_diaph_25,[-0.02099544403691595 -0.0893642743452803   0.04262975907495638]
12,femur_r,femur_r_anter_diaph_75,[ 0.02321748326180567 -0.2910898848789806   0.0123886158934191 ]
13,femur_r,femur_r_poster_diaph_75,[ 0.00278966415742109 -0.2839877653558783   0.0135842610243557 ]
14,femur_r,patella_r_in_femur_r,[ 0.03912612840373217 -0.4028419162240925  -0.00181445139397815]
