,body,name,location
0,femur_r,addbrev_r-P2,[-0.01207078017950792 -0.11173548513096626  0.03009364934144316]
1,femur_r,addlong_r-P2,[-0.00092934322061682 -0.22905040384712896  0.01724074162700127]
2,femur_r,addmagDist_r-P2,[ 0.0012964841847472  -0.2500480436318325   0.01866323718723147]
3,femur_r,addmagIsch_r-P2,[ 0.00279884520025682 -0.3622219033495057  -0.03240660861750526]
4,femur_r,addmagMid_r-P2,[-0.00892094305894815 -0.15510553087317028  0.02207677161954296]
5,femur_r,addmagProx_r-P2,[-0.01764276810595665 -0.07013688431176844  0.0288817253476519 ]
6,femur_r,bfsh_r-P1,[-0.00630323986559378 -0.20099107179961473  0.02474209578093092]
7,femur_r,gaslat_r-P1,[ 0.0007481397464268  -0.3540039596729822   0.02724497195384945]
8,femur_r,gasmed_r-P1,[ 0.0072270612757112  -0.3532793362536718  -0.02195727727201769]
9,femur_r,glmax1_r-P3,[-0.04212418286346593 -0.01658515588637036  0.03472086218415672]
10,femur_r,glmax1_r-P4,[-0.02616184294978244 -0.04354012373330977  0.04389123158206925]
11,femur_r,glmax2_r-P3,[-0.04520670455576514 -0.04178531014736925  0.03076129327151538]
12,femur_r,glmax2_r-P4,[-0.02076220892948129 -0.09103358795228522  0.04250104787147389]
13,femur_r,glmax3_r-P3,[-0.03668115411434563 -0.09872512401703196  0.03594791761557867]
14,femur_r,glmax3_r-P4,[-0.01498739161644618 -0.13292631694743715  0.02730484121410124]
15,femur_r,glmed1_r-P2_0,[-0.01090169287690035 -0.00939714310798871  0.05899403322184821]
16,femur_r,glmed2_r-P2_0,[-0.01724612077866948  0.00113364918071747  0.05698187563447477]
17,femur_r,glmed3_r-P2_0,[-0.02449763411024935  0.0088356026698645   0.05337982379113413]
18,femur_r,glmin1_r-P2,[ 0.0034444079575394  -0.01231605144047882  0.05392292616610132]
19,femur_r,glmin2_r-P2,[ 0.00428655245008408 -0.00640070135258279  0.05104946882252695]
20,femur_r,glmin3_r-P2,[-0.00099073087899719  0.00342275043560505  0.05071632807123425]
21,femur_r,iliacus_r-P3,[-0.00368277932515134 -0.05360737173668613  0.00539882918733103]
22,femur_r,iliacus_r-P4,[-0.0128165082689637  -0.05735620880855569  0.01090906754081216]
23,femur_r,piri_r-P3,[-0.01085157916364548  0.00429159543176476  0.0441356851503199 ]
24,femur_r,psoas_r-P3,[-0.01454062324703031 -0.041014397613576    0.00217584664791194]
25,femur_r,psoas_r-P4,[-0.02435110435896138 -0.04286152020024187  0.00939263457654288]
26,femur_r,sart_r-P2,[-0.02192292486147762 -0.33213283165284635 -0.02943167352795343]
27,femur_r,tfl_r-P2,[ 0.01943847528508679 -0.10235834816476774  0.04637640945060491]
28,femur_r,tfl_r-P3,[ 0.00873419731146783 -0.3794309885160151   0.03130597998776496]
29,femur_r,vasint_r-P1,[ 0.01512286547320786 -0.19087548366415283  0.02755998218595011]
30,femur_r,vasint_r-P2,[ 0.01917763847829472 -0.2070732888725031   0.02623643780718598]
31,femur_r,vaslat_r-P1,[-0.00568688767090971 -0.1769401024728462   0.0292660972970093 ]
32,femur_r,vaslat_r-P2,[ 0.01848964510124147 -0.25108363622545526  0.03534963369912475]
33,femur_r,vasmed_r-P1,[ 0.0008110145574814  -0.20278951145355953  0.02050492325825054]
34,femur_r,vasmed_r-P2,[ 0.01988528345599229 -0.2711600009806953   0.00068755811407512]
