name,body,location
RASI,pelvis,[ 0.00977119415203367 -0.00331599212180111  0.10929910029199533]
RPSI,pelvis,[-0.1517924321555022   0.03671205692881726  0.04452010238911145]
LPSI,pelvis,[-0.15126462289215795  0.03463826612085018 -0.04019704830356382]
LASI,pelvis,[ 0.0163695359956212   0.00466144954761274 -0.11971464934318436]
PE01,pelvis,[-0.14082654855244545  0.05884986644144607  0.00134529965366064]
PE02,pelvis,[-0.16020466406322578  0.02046049724598705  0.03282318553193581]
PE03,pelvis,[-0.1597533028983721   0.0190799659755314  -0.02725572984649549]
LTH1,femur_l,[ 0.01465047969353243 -0.20811482771025086 -0.04890287643538953]
LTH2,femur_l,[ 0.00626102853511206 -0.2820136093762934  -0.04903590316336288]
LTH3,femur_l,[ 0.04376471699523403 -0.25637176128179884 -0.02624591421906475]
LGT,femur_l,[-0.01607218916463409 -0.00900648417553512 -0.08967409925895624]
LKNE,femur_l,[-0.00004332242203487 -0.38469135656079567 -0.04993665448378667]
LMKNE,femur_l,[-0.00010740830607025 -0.3861839241475117   0.05048060670511583]
RTH1,femur_r,[ 0.01175563714856901 -0.19792648622757134  0.06824104052626127]
RTH2,femur_r,[ 0.01485104861883687 -0.27200024521124194  0.06057203576869803]
RTH3,femur_r,[ 0.04122635187698998 -0.2443172239236363   0.05185151945348822]
RGT,femur_r,[-0.01499353873860827 -0.00542261241248281  0.08824348755141026]
RKNE,femur_r,[-0.00001694751657317 -0.3748661909471507   0.04947194282195153]
RMKNE,femur_r,[-0.00013834285483131 -0.3775061477075743  -0.04997081945224321]
LTB1,tibia_l,[-0.01166323278808731 -0.12810776813539326 -0.07936594930957439]
LTB2,tibia_l,[ 0.02621901469235298 -0.17208336610293729 -0.0747219291181026 ]
LTB3,tibia_l,[-0.0085775313613417 -0.2293175720905789 -0.0743206827343448]
LANK,tibia_l,[ 0.0023895978519846  -0.3675447618889761  -0.06189755198078396]
LMMA,tibia_l,[ 0.01415754951215538 -0.3624346605179262   0.04579738383532082]
RTB1,tibia_r,[-0.00256075760275218 -0.12734062777991575  0.06429549606355675]
RTB2,tibia_r,[-0.03317712461709545 -0.17046973313425753  0.06111416491351759]
RTB3,tibia_r,[ 0.00862270434859049 -0.21660408955551047  0.06230643107862011]
RANK,tibia_r,[ 0.00288841901509792 -0.36681083871446285  0.0583756020104832 ]
RMMA,tibia_r,[ 0.01276470762058061 -0.3628904519041395  -0.04407792397786228]
