,body,name,location
0,tibia_l,knee_l_center,[0. 0. 0.]
1,tibia_l,fibula_l_lat_malleol_tip,[-0.00900677073831111 -0.38945842045715834 -0.02603727189029389]
2,tibia_l,tibia_l_med_malleol_tip,[ 0.01181745487898846 -0.3766285807503698   0.0223296105829007 ]
3,tibia_l,ankle_l_lat,[-0.00685134012306776 -0.36906316738328687 -0.04496466987227193]
4,tibia_l,ankle_l_med,[ 0.00950395086775102 -0.3630408353347228   0.03650143346216024]
5,tibia_l,ankle_l_center,[ 0.00137002713815246 -0.36610848589712497 -0.00439999888362936]
6,tibia_l,talus_l_center_in_tibia,[-0.00011561342858986 -0.3830273139795448   0.00003854061618177]
7,tibia_l,tibia_l_center,[ 0.                  -0.03078262635975184  0.                 ]
8,tibia_l,tibia_l_lat,[-0.00023548104272639 -0.0313905539595481  -0.0406665390792823 ]
9,tibia_l,tibia_l_med,[-0.00022678389921269 -0.03053184017890956  0.04139757296313715]
10,tibia_l,tibia_l_epiph_yellow_anterior_plate,[ 0.01852329296152309 -0.02303286814163817  0.00019283296305294]
11,tibia_l,tibia_l_epiph_yellow_patel_tend_point,[ 0.02663499210552901 -0.05584417211633459  0.00277841240718581]
12,tibia_l,tibia_l_epiph_yellow_posteriormost,[-0.02314205203453543 -0.03372125514147394  0.0002911811582709 ]
13,tibia_l,tibia_l_ankle_yellow_anter,[ 0.01900910289660974 -0.3543453308293224   0.00243858720600527]
14,tibia_l,tibia_l_epiph_green_medial_lower_epiph,[-0.00057566515405223 -0.05261697039513735  0.0224553781841818 ]
15,tibia_l,fibula_l_as,[-0.0033484073589502  -0.05755515214572372 -0.02052800669536954]
16,tibia_l,tibia_l_midshaft_anter,[ 0.02045613234806133 -0.1914875179902843  -0.00703712915183313]
17,tibia_l,tibia_l_midshaft_poster,[-0.00303001092718132 -0.19149879764855224  0.00628399736277846]
18,tibia_l,fibula_l_midshaft_anter,[-0.01346034989973732 -0.19252174069937267 -0.02551863922854011]
19,tibia_l,tibia_l_anter_diaph_25,[ 0.02407783369455602 -0.09271086012251163 -0.00970954116430874]
20,tibia_l,tibia_l_anter_diaph_75,[ 0.01760290562070041 -0.28756330361357824 -0.00435298532109132]
21,tibia_l,fibula_l_anter_diaph_75,[-0.00761554120127196 -0.288266733494989   -0.02211064925827495]
