name,r,a,s
addbrev_l-P2,-95.961506956268,-41.26529651288399,575.0368057379899
addlong_l-P2,-85.36156892917963,-26.058073402618664,456.085886130937
addmagDist_l-P2,-88.9413344040139,-24.403806158165956,434.4889138363192
addmagIsch_l-P2,-38.75988141944566,-18.135722846577124,318.01443600746654
addmagMid_l-P2,-99.48414450850764,-37.29276175512045,531.3204852125775
addmagProx_l-P2,-104.70541851455754,-51.696934726132056,616.6874608756862
bfsh_l-P1,-93.30888382438806,-33.368613219348944,484.27951854888306
gaslat_l-P1,-99.86111598542512,-26.652242434447167,326.6748241442705
gasmed_l-P1,-50.4364235200854,-16.31071201207108,326.0218180406712
glmax1_l-P3,-106.2292201955115,-74.57657456566588,669.3778828349909
glmax1_l-P4,-121.01002990148783,-61.15418012255297,642.1698594203266
glmax2_l-P3,-100.81192236624466,-76.53096300831028,643.8785379803625
glmax2_l-P4,-114.17946511699891,-52.69608706985576,594.7392433679208
glmax3_l-P3,-82.76774637726687,-63.73051800711593,586.3283237276592
glmax3_l-P4,-112.13510420786923,-44.80638114348674,553.3133670738314
glmed1_l-P2,-132.41484096249013,-46.89956644952031,677.4520920565905
glmed2_l-P2,-130.29051022672988,-53.51526302134188,687.1636823292439
glmed3_l-P2,-127.00869373348974,-61.094207442313554,694.3737692234118
glmin1_l-P2,-127.94317966796802,-31.228120957692436,675.9616945258581
glmin2_l-P2,-124.07620895766357,-30.904988775163552,681.7190543861778
glmin3_l-P2,-123.92459670094377,-37.50690076788292,691.4901618069285
iliacus_l-P3,-86.05609642389209,-39.44585822351624,635.0652160675432
iliacus_l-P4,-92.40497684765089,-48.430827011902615,630.5152589447754
piri_l-P3,-117.60367999747456,-47.058063545431565,691.3228429506523
psoas_l-P3,-77.9367743019811,-48.51576637126616,647.067596983407
psoas_l-P4,-82.86284887197522,-57.790776370192376,644.0580212231969
sart_l-P2,-29.5056735382407,-27.622313105342894,348.7761806115699
tfl_l-P2,-128.32740328357315,-12.986600874256045,586.6510246997514
tfl_l-P3,-104.06591500164159,-12.676661919209652,301.5096107470202
vasint_l-P1,-99.1545710973687,-13.144981831927485,496.53988977780125
vasint_l-P2,-96.33944968132371,-8.440854028939569,480.3067788651278
vaslat_l-P1,-104.83748173484281,-34.680000790373576,508.9321069766487
vaslat_l-P2,-109.40997103240076,-11.078824908694964,434.4530431086329
vasmed_l-P1,-88.06645074483853,-25.50119150751464,483.2147944331353
vasmed_l-P2,-69.01682693395126,-1.5041156072626356,415.12075285827655
