name,r,a,s
addbrev_r-P2,113.37009477317407,-44.37666423272882,580.0207921362637
addlong_r-P2,101.27274466503175,-27.40453422915306,463.5878333830407
addmagDist_r-P2,104.30064493685596,-25.487547731203662,442.65411630834285
addmagIsch_r-P2,51.46224290793338,-17.237741699480825,330.13131646107024
addmagMid_r-P2,116.41102151115763,-39.870528143725814,537.1496152113313
addmagProx_r-P2,121.80412373930326,-55.107528767384714,621.5610157621521
bfsh_r-P1,109.50632462595149,-35.187466197098004,491.22096755046675
gaslat_r-P1,111.77975339403483,-26.76295655548983,338.5373491894469
gasmed_r-P1,63.35256419735734,-15.680488969007463,337.7150314324066
glmax1_r-P3,122.2254447853623,-77.95496277718095,674.8132961954672
glmax1_r-P4,137.4329780969626,-64.6398575881764,647.433265754466
glmax2_r-P3,116.9248442411723,-79.86656273289714,649.5287344307319
glmax2_r-P4,131.0450039295787,-56.042475479899174,600.073692418638
glmax3_r-P3,99.45015897125823,-66.71028861323222,592.0317107567786
glmax3_r-P4,128.9228460002027,-47.751644584236274,559.0592221510817
glmed1_r-P2_0,149.16614691604013,-50.3777572685517,681.6851740986805
glmed2_r-P2_0,146.61258113326596,-57.05024429752214,691.8818972195742
glmed3_r-P2_0,143.07414513889984,-64.60077203372816,699.3099007625269
glmin1_r-P2,145.2449000533036,-35.692040326295164,679.554586800589
glmin2_r-P2,141.81467968355219,-34.873652716283765,685.5231065056313
glmin3_r-P2,141.13673345624565,-40.71439021979202,694.9886947403942
iliacus_r-P3,103.8131260562764,-42.83108481986588,638.9857152721031
iliacus_r-P4,109.77763089863778,-51.82233403939121,634.9360411806133
piri_r-P3,134.31440272837258,-50.55745330956178,695.5475208148482
psoas_r-P3,95.41935107208849,-51.84598781129848,651.1603312418754
psoas_r-P4,99.96966885376534,-61.119399938938635,648.6290259077841
sart_r-P2,42.67336148534262,-26.889890283828233,360.2590889769192
tfl_r-P2,146.44489489497118,-16.44336164942402,590.586129513655
tfl_r-P3,116.03703421362613,-12.70418949770411,313.51494999257653
vasint_r-P1,116.49265330686745,-15.302805892967035,502.2388451085989
vasint_r-P2,113.57041030321335,-10.348555478532496,486.26922599240925
vaslat_r-P1,121.39481746672513,-36.98042397714719,515.2643654075885
vaslat_r-P2,125.22052551339783,-12.468254767695317,442.0408205706944
vasmed_r-P1,104.66730456877613,-27.28856857120349,489.81356297367086
vasmed_r-P2,85.17896894750506,-2.1994830162165298,422.90915467796253
