name,r,a,s,body,group
addbrev_l-P2,-100.51772989812343,-41.890195127389234,575.2698808814112,femur_l,muscle
addlong_l-P2,-87.96880989205783,-28.564475420502276,455.5081234965378,femur_l,muscle
addmagDist_l-P2,-89.65266543685175,-25.142745901091985,433.8564084421222,femur_l,muscle
addmagIsch_l-P2,-40.269344975695276,-22.285503925013472,322.70842118660494,femur_l,muscle
addmagMid_l-P2,-91.23818423890953,-35.58743916555659,531.4711838150233,femur_l,muscle
addmagProx_l-P2,-101.066140484696,-52.79217291556597,616.4314136539651,femur_l,muscle
bfsh_l-P1,-95.64792722401398,-34.73684326502553,484.13480503332084,femur_l,muscle
gaslat_l-P1,-99.88001876809176,-20.309101073835336,328.63579713680883,femur_l,muscle
gasmed_l-P1,-50.7365681154979,-20.79770204446686,335.23280221991627,femur_l,muscle
glmax1_l-P3,-108.4532140560757,-76.16468786673795,668.3876780009123,femur_l,muscle
glmax1_l-P4,-116.72051836370974,-61.15729647743865,641.9326537789711,femur_l,muscle
glmax2_l-P3,-103.39039093578413,-77.98408971490062,642.9439605565785,femur_l,muscle
glmax2_l-P4,-114.30142477265144,-52.6254551740567,594.7549451577797,femur_l,muscle
glmax3_l-P3,-105.19534955247582,-67.97213141964676,586.4554048406771,femur_l,muscle
glmax3_l-P4,-96.34814920485042,-40.74876633446411,553.4197009366399,femur_l,muscle
glmed1_l-P2,-132.55126159256088,-46.847206788279436,677.5045997146517,femur_l,muscle
glmed2_l-P2,-130.76762423637615,-53.3527233274981,687.2762579413393,femur_l,muscle
glmed3_l-P2,-127.29669990676894,-60.80588445501053,694.48140579143,femur_l,muscle
glmin1_l-P2,-127.66130201683791,-31.360600156560395,675.9593955305681,femur_l,muscle
glmin2_l-P2,-124.33592566230345,-31.01417417991979,681.7468766781967,femur_l,muscle
glmin3_l-P2,-124.29485271631307,-37.33101305935634,691.6312804367226,femur_l,muscle
iliacus_l-P3,-78.18385499719898,-39.829692685092596,634.9398609969139,femur_l,muscle
iliacus_l-P4,-83.41708666407158,-49.25601627202195,630.2054290069282,femur_l,muscle
piri_l-P3,-117.82841980487228,-46.93551188247511,691.4547602215171,femur_l,muscle
psoas_l-P3,-74.96824375204733,-48.48603985727095,646.9596503094654,femur_l,muscle
psoas_l-P4,-81.70988255734119,-57.67616269945938,644.0723436665394,femur_l,muscle
sart_l-P2,-45.98443988044346,-51.297688650091004,348.97700989744044,femur_l,muscle
tfl_l-P2,-121.46061474339695,-11.475331161643226,586.5806098204193,femur_l,muscle
tfl_l-P3,-103.93139920557314,-12.909811235047528,301.2188979305056,femur_l,muscle
vasint_l-P1,-98.15984744139496,-12.892358475251967,496.59212533333994,femur_l,muscle
vasint_l-P2,-96.91193575391844,-8.650300511995738,480.14711326335964,femur_l,muscle
vaslat_l-P1,-99.74157944572471,-33.150882932603054,509.0267148922767,femur_l,muscle
vaslat_l-P2,-106.62805847925301,-6.785585617253673,434.1039518800296,femur_l,muscle
vasmed_l-P1,-91.10729222314149,-27.677215354729924,483.03151303782124,femur_l,muscle
vasmed_l-P2,-71.03867434865424,-6.657497213687748,414.11628000443056,femur_l,muscle
addbrev_r-P2,118.57499792173257,-46.025690028991676,580.0185426674107,femur_r,muscle
addlong_r-P2,104.03278273721234,-29.21358264810624,463.5797345725772,femur_r,muscle
addmagDist_r-P2,105.1580462809802,-26.09624744699977,442.67770880983073,femur_r,muscle
addmagIsch_r-P2,52.19117887439734,-17.875249460652412,331.68091970157457,femur_r,muscle
addmagMid_r-P2,109.90315118200397,-40.669996322585575,536.9921752978471,femur_r,muscle
addmagProx_r-P2,117.91135891033082,-53.41515309343049,621.3454687352423,femur_r,muscle
bfsh_r-P1,111.8431452070065,-36.0859608453502,491.22469523904783,femur_r,muscle
gaslat_r-P1,111.87510141305484,-22.263795178267173,338.6538038016897,femur_r,muscle
gasmed_r-P1,62.94119692758409,-14.200601435783028,340.60847273651507,femur_r,muscle
glmax1_r-P3,123.8643900506504,-80.45403909424203,673.6396641009778,femur_r,muscle
glmax1_r-P4,133.09191922456012,-63.61046075693412,647.2463157688071,femur_r,muscle
glmax2_r-P3,119.35726296358553,-82.27031331563012,648.4084363442998,femur_r,muscle
glmax2_r-P4,131.04518422859837,-56.0425894486043,600.0736965756951,femur_r,muscle
glmax3_r-P3,123.82127342052081,-71.37505841567418,591.8125485322616,femur_r,muscle
glmax3_r-P4,115.31435541419978,-47.8948897083601,558.7768447805684,femur_r,muscle
glmed1_r-P2_0,149.30506747260006,-50.40512511479392,681.734906027963,femur_r,muscle
glmed2_r-P2_0,147.26576239432325,-57.14559672784162,692.0113551723152,femur_r,muscle
glmed3_r-P2_0,143.55692180139886,-64.61226684970097,699.4526352622452,femur_r,muscle
glmin1_r-P2,144.67215488582224,-35.78269768271275,679.5514457620011,femur_r,muscle
glmin2_r-P2,141.93402649821292,-35.11222834298496,685.5523169413791,femur_r,muscle
glmin3_r-P2,141.5961545629507,-40.81099692116368,695.1372418956053,femur_r,muscle
iliacus_r-P3,95.21123334116601,-39.44196012058637,638.9240540621176,femur_r,muscle
iliacus_r-P4,100.34158134110112,-48.57550612686646,634.6697177715359,femur_r,muscle
piri_r-P3,134.70154464085135,-50.47791238340869,695.6950781087362,femur_r,muscle
psoas_r-P3,91.84553904559107,-50.74131196331473,651.0838294790228,femur_r,muscle
psoas_r-P4,98.6919127220117,-60.69229981528042,648.6663022801258,femur_r,muscle
sart_r-P2,54.85871229154782,-44.00682629437506,360.5840916207717,femur_r,muscle
tfl_r-P2,136.0795667610182,-15.524466020643558,590.4663921174997,femur_r,muscle
tfl_r-P3,115.75375367958077,-13.283710946634528,313.5317648466953,femur_r,muscle
vasint_r-P1,115.56406514393166,-15.240134977011621,502.22241753947037,femur_r,muscle
vasint_r-P2,114.09222176846424,-10.421231435320806,486.24826049920784,femur_r,muscle
vaslat_r-P1,116.81038275034325,-36.699131013718215,515.1881294427512,femur_r,muscle
vaslat_r-P2,122.39654107723845,-9.435076273264713,442.08379370526256,femur_r,muscle
vasmed_r-P1,107.8183220503646,-28.761980849569227,489.82442821049835,femur_r,muscle
vasmed_r-P2,87.45178508370554,-5.994850659095391,422.7577338807032,femur_r,muscle
recfem_l-P2,-71.75141268194602,23.23880379826005,324.88985981389305,patella_l,muscle
recfem_l-P3,-69.47835047123226,25.89764970174292,319.72448873802387,patella_l,muscle
recfem_l-P4,-71.13568973364818,23.840119838772807,282.83203078196493,patella_l,muscle
vasint_l-P3,-69.41701611823464,20.056497505822335,325.04408204902757,patella_l,muscle
vasint_l-P4,-70.62019728029827,23.878510109512717,282.834011934252,patella_l,muscle
vaslat_l-P3,-91.55903763043261,21.438338022184325,318.73904382682485,patella_l,muscle
vaslat_l-P4,-80.7100288406491,23.122917538436013,282.7667336407485,patella_l,muscle
