name,r,a,s,body,group
Gastroc_at_condyles_l,-71.59003294033846,-16.44408904509328,297.3254647068525,femur_l,wrap_transl
KnExt_at_fem_l,-74.05444641633312,-18.47051812807331,304.5490151712802,femur_l,wrap_transl
AB_at_femshaft_l,-96.7391839581087,-27.34974869061898,576.5011509631786,femur_l,wrap_transl
AL_at_femshaft_l,-85.50306588738204,-11.830238365957484,457.91832381752465,femur_l,wrap_transl
AMprox_at_femshaft_l,-92.05270779703278,-34.91463361235947,617.2055357550234,femur_l,wrap_transl
AMmid_at_femshaft_l,-86.76996746119767,-19.467662849509907,528.0746216663283,femur_l,wrap_transl
AMdist_at_femshaft_l,-79.05362591443736,-9.514239557778637,430.3167945284015,femur_l,wrap_transl
AMisch_at_condyles_l,-75.4265518052689,-47.633500287425704,339.19751251646085,femur_l,wrap_transl
PECT_at_femshaft_l,-101.03911441418859,-34.612620038293244,605.8297133200358,femur_l,wrap_transl
Gastroc_at_condyles_r,83.9248603395688,-16.21419804204197,310.2108722807425,femur_r,wrap_transl
KnExt_at_fem_r,86.09943548949673,-18.04297599324491,317.27527357618783,femur_r,wrap_transl
AB_at_femshaft_r,114.43425842006036,-30.770324770773982,580.6303721712338,femur_r,wrap_transl
AL_at_femshaft_r,102.47769365742283,-12.526267025350535,465.1723716161998,femur_r,wrap_transl
AMprox_at_femshaft_r,109.14633872480408,-34.47105792071579,621.2661197539674,femur_r,wrap_transl
AMmid_at_femshaft_r,105.44840548209231,-22.96849020990703,532.9221681646368,femur_r,wrap_transl
AMdist_at_femshaft_r,95.58336192324941,-9.723652768647298,438.65640753647335,femur_r,wrap_transl
AMisch_at_condyles_r,85.57778773321752,-44.53493964046356,348.6242659121499,femur_r,wrap_transl
PECT_at_femshaft_r,117.85219874558061,-35.405752171588574,610.0608226590812,femur_r,wrap_transl
Gmax1_at_pelvis_r,72.76564296464858,-63.11631796482834,676.5486203542641,pelvis,wrap_transl
Gmax2_at_pelvis_r,80.0422656425817,-61.05441888004498,694.4091786366625,pelvis,wrap_transl
Gmax3_at_pelvis_r,80.59310838815873,-65.26981162037919,690.0317186150751,pelvis,wrap_transl
Gmax1_at_pelvis_l,-57.46542169342422,-60.5780717603775,674.3376024470635,pelvis,wrap_transl
Gmax2_at_pelvis_l,-64.26985074990444,-59.296799744719465,691.8274995422144,pelvis,wrap_transl
Gmax3_at_pelvis_l,-65.00508857432305,-63.275357695965795,687.448389345649,pelvis,wrap_transl
PS_at_brim_r,75.17879234041538,-50.67264087735748,715.4354030035756,pelvis,wrap_transl
PS_at_brim_l,-59.35995759442085,-49.28557266311691,712.8511390576205,pelvis,wrap_transl
IL_at_brim_r,85.52779297969391,-48.726907477939676,710.6041610439133,pelvis,wrap_transl
IL_at_brim_l,-69.82573050321844,-47.474048178952216,707.7937069404215,pelvis,wrap_transl
GasLat_at_shank_l,-73.63490827989926,-26.59305652214971,239.61527354209466,tibia_l,wrap_transl
GasMed_at_shank_l,-73.63490827989926,-26.59305652214971,239.61527354209466,tibia_l,wrap_transl
GR_at_condyles_l,-74.86067711394298,-22.026581840909785,288.6377267879743,tibia_l,wrap_transl
SM_at_condyles_l,-74.68205131677314,-20.115518095713924,288.7419148859499,tibia_l,wrap_transl
ST_at_condyles_l,-74.81543040786528,-21.066193053397,288.25807584891663,tibia_l,wrap_transl
BF_at_gastroc_l,-79.26269996585097,-74.25991992236231,249.26973788969553,tibia_l,wrap_transl
GasLat_at_shank_r,81.0878567545351,-24.27212091907859,247.42892304284942,tibia_r,wrap_transl
GasMed_at_shank_r,81.0878567545351,-24.27212091907859,247.42892304284942,tibia_r,wrap_transl
GR_at_condyles_r,84.60178130504437,-20.41418793638877,296.4677426937742,tibia_r,wrap_transl
SM_at_condyles_r,84.78780681044009,-18.498694934722153,296.67057580091387,tibia_r,wrap_transl
ST_at_condyles_r,84.72393488958323,-19.446224399391213,296.1164443108737,tibia_r,wrap_transl
BF_at_gastroc_r,77.68440513674614,-73.30009196071478,255.38356962552643,tibia_r,wrap_transl
