name,r,a,s
torso_origin_in_pelvis,3.4053786754051707,-53.93283861429144,833.542802407001
ASIS_l,-112.6218788873478,19.227760097240708,752.402043492456
ASIS_r,120.91463941444242,20.27541627257338,755.0241657952546
PSIS_l,-37.699157884826235,-94.78191901267151,796.358391351498
PSIS_r,50.02577280600247,-94.53396989262279,799.5718076578617
pub_infer_c,8.1573801461085,-18.53849984405278,654.6209154205394
pub_super_c,7.35135586084953,6.860707801071577,672.1197528281841
ilium_l,-89.52097984638819,-31.702107838174797,828.829954796358
ilium_r,91.77270738355965,-31.109236891999846,834.925034010354
femur_l_center_in_pelvis,-71.12775546013137,-37.30973015816252,691.3073661559216
femur_r_center_in_pelvis,87.13509838875734,-38.92017620342232,693.9004550959096
sacroiliac_l,-33.81610807697568,-81.00083679038976,785.1323664091648
sacroiliac_r,46.2978068826697,-80.8807715610664,787.9189004859206
5th_sacr_v,8.31829517456418,-100.00726344373952,728.2707915197666
AIIS_l,-83.2332501015356,-4.853982362741353,723.1732000109794
AIIS_r,95.82641495351812,-5.185572147438713,725.2983814710124
isch_infer_l,-27.906923018542283,-62.064378037563465,641.4858238195037
isch_infer_r,46.343277178933285,-63.21994766302821,642.8808719666105
isch_spine_l,-46.5546906153532,-81.79817748368967,713.2264449205876
isch_spine_r,63.0398807364384,-82.96445790129741,715.9919316372025
isch_tuber_l,-41.22105851017362,-91.71021491252759,682.1982840537923
isch_tuber_r,59.25532647839836,-93.05388073490889,684.6059798296735
