name,r,a,s
addbrev_r-P1,23.360049274546164,-11.57377394396946,663.845666246181
addlong_r-P1,26.3300547908018,-0.9206597742625781,666.2693193641367
addmagDist_r-P1,51.540204693894445,-62.437649016526585,647.9914608614316
addmagIsch_r-P1,53.942085738458154,-75.70106221135231,651.2966013413975
addmagMid_r-P1,38.610237655905806,-43.68030351335069,647.8884638702483
addmagProx_r-P1,22.24518502952769,-23.74379012103395,653.7339352543019
bflh_r-P1,72.11277840562455,-85.9680347762427,667.2717419694062
glmax1_r-P1,64.87175101064851,-80.06348266840862,809.4290629086793
glmax1_r-P2,90.01395834637519,-90.29175866598146,763.4373615661061
glmax2_r-P1,56.85997648785653,-90.54096317511271,791.1919067698999
glmax2_r-P2,95.27055737088004,-102.86263295579846,732.9609784473802
glmax3_r-P1,18.163132640307104,-97.89224672854075,736.7528999377049
glmax3_r-P2,56.81455833876788,-106.61924934237821,666.7541907026357
glmed1_r-P1,114.22378309167985,-19.468133450432894,790.0409591530031
glmed2_r-P1,84.78122520794416,-46.55299745835213,817.3493988460507
glmed3_r-P1,71.97144742963046,-63.01371331267259,788.9162446081825
glmin1_r-P1,116.70357592100478,-5.153489491637978,764.0977343066867
glmin2_r-P1,103.75995737419991,-31.616050976737718,778.0626910540772
glmin3_r-P1,87.54551509070001,-49.22706159109651,758.6306853956596
grac_r-P1,34.443510256998756,-40.540491601945995,638.0624431166344
iliacus_r-P1,86.32054019070078,-28.45681685681558,793.3430267631578
iliacus_r-P2,79.88495036433191,0.8600463971633591,705.0069023039314
piri_r-P1,21.25686127445617,-67.12536212326152,768.4386272714256
piri_r-P2,71.96918973577128,-70.98579346157973,750.3403407666548
psoas_r-P1,41.25667561390628,-24.123730633553347,813.2386571690495
psoas_r-P2,71.6872759154732,-6.847569368886386,696.2200521012556
recfem_r-P1,95.82641495351812,-5.185572147438713,725.2983814710124
sart_r-P1,104.9380980444568,1.7470135595759684,747.0319352145021
semimem_r-P1,74.79017259177365,-80.71827633510216,670.7469204377923
semiten_r-P1,64.70732452385616,-86.79291120471758,660.7462833598534
tfl_r-P1,124.93436814960322,3.864773530840848,772.4822353802786
addbrev_l-P1,-7.5957253827675775,-11.233278731599436,663.4803109341719
addlong_l-P1,-11.022108050461375,-0.5808333287781694,665.8879282954043
addmagDist_l-P1,-33.117733893933035,-61.132085912264955,646.7160623861001
addmagIsch_l-P1,-35.315662654600786,-74.36174500874289,649.4792080412092
addmagMid_l-P1,-21.070847156692963,-42.78525388680027,646.9046089380369
addmagProx_l-P1,-5.680430082639711,-23.376870249563567,653.3533629277987
bflh_l-P1,-53.566541861258756,-84.29873832173992,664.5492141152832
glmax1_l-P1,-54.65516063906345,-80.36693835795032,805.1390381665153
glmax1_l-P2,-75.95595605460211,-89.75811244264382,758.6931900969173
glmax2_l-P1,-44.221339377523655,-90.69006099355012,787.6641799302154
glmax2_l-P2,-78.90231662483632,-101.68243299829922,728.3952799353812
glmax3_l-P1,-1.9431576405658078,-97.7337862994775,736.1593465503064
glmax3_l-P2,-37.49757979365488,-105.39050135728588,664.5395330928574
glmed1_l-P1,-107.11899218244245,-19.99877028068389,784.9685080318511
glmed2_l-P1,-78.8686667238734,-47.16189535701298,812.2414981368962
glmed3_l-P1,-61.33746842336606,-63.17150267981161,785.12512151188
glmin1_l-P1,-107.42705517167342,-6.095913821482828,760.7168728489012
glmin2_l-P1,-94.52222189798204,-31.83902976720528,773.5535244531297
glmin3_l-P1,-75.26742901532586,-48.8246847751026,754.7916161244813
grac_l-P1,-16.617040052473804,-39.790189598917635,637.2552544381928
iliacus_l-P1,-78.93255197727834,-28.831018852319133,788.955348115062
iliacus_l-P2,-66.2733562319178,1.4455428988339152,703.5120737598513
piri_l-P1,-8.055606421412357,-67.08613662783127,767.5186400167589
piri_l-P2,-57.77709494658588,-70.34358476522652,746.8911479164154
psoas_l-P1,-35.50890344556367,-24.38632188436002,810.6598548670083
psoas_l-P2,-57.23858118769785,-6.008134435361109,694.7685079429878
recfem_l-P1,-83.51372116243854,-4.8284390177735945,723.3849467265757
sart_l-P1,-94.63293558948136,1.394750986325241,744.516096961173
semimem_l-P1,-56.55294072840956,-78.98753788055254,667.9507188960772
semiten_l-P1,-45.92986686762482,-85.26024558576852,658.3572370850402
tfl_l-P1,-117.25965141850554,3.200263668905566,768.7697049672314
