name,r,a,s
Gmax1_at_pelvis_r,73.1073131154712,-60.13042092728397,678.5790165128701
Gmax2_at_pelvis_r,80.00788356643483,-60.01703218761413,695.5270453135923
Gmax3_at_pelvis_r,80.3475454329518,-63.34659992100435,691.6001819949284
Gmax1_at_pelvis_l,-55.87071664053697,-58.433005548710504,676.0845638797232
Gmax2_at_pelvis_l,-63.405752572350444,-58.35266862133653,692.660677869035
Gmax3_at_pelvis_l,-63.470544167850335,-61.63185900733057,688.6922420654727
PS_at_brim_r,76.16183155325929,-51.392994217291765,715.5982694204305
PS_at_brim_l,-60.82945167101698,-50.115890006742035,712.8488237068465
IL_at_brim_r,86.06759697073477,-49.42821444797436,710.8005330901935
IL_at_brim_l,-70.54172643952657,-47.98714632510312,707.8229288377352
