name,r,a,s
ASIS_r,0.587889628897077,926.1264981768232,126.22127689149839
ASIS_l,0.58789,926.126,-126.221
PSIS_r,-137.95,947.538,39.8034
PSIS_l,-137.95,947.538,-39.8034
knee_r_med,-56.2765,447.08500000000004,40.0
knee_l_med,-56.2765,447.08500000000004,-40.0
knee_r_lat,-56.2765,447.08500000000004,115.0
knee_l_lat,-56.2765,447.08500000000004,-115.0
tibia_l_med,-59.2122,412.00000000000006,-44.50000000000001
tibia_r_med,-59.2122,412.00000000000006,44.50000000000001
tibia_l_lat,-59.2122,414.00000000000006,-114.66899999999997
tibia_r_lat,-59.2122,414.00000000000006,114.66899999999997
ankle_l_med,-55.20033784540273,67.0907357728749,-45.854967786843325
ankle_r_med,-55.20030000000001,67.09070000000023,45.85499999999999
ankle_l_lat,-71.66989683028343,62.96570829620135,-114.66899999999997
ankle_r_lat,-71.66990000000001,62.96570000000023,114.66899999999995
femur_l_center_in_pelvis,-56.275999999999996,851.51,-77.25999999999999
femur_l_center,-56.275999999999996,851.51,-77.25999999999999
femur_r_center_in_pelvis,-56.275999999999996,851.51,77.25999999999999
femur_r_center,-56.275999999999996,851.51,77.25999999999999
patella_l_in_femur_l,-11.965999999999998,432.75,-77.25999999999999
patella_l,-11.965999999999998,432.75,-77.25999999999999
patella_r_in_femur_r,-11.965999999999998,432.75,77.25999999999999
patella_r,-11.965999999999998,432.75,77.25999999999999
knee_l_center_in_femur_l,-56.27646,447.08480000000003,-75.99474
knee_l_center,-56.27646,447.08480000000003,-75.99474
knee_r_center_in_femur_r,-56.2765,447.08500000000004,75.9947
knee_r_center,-56.27646,447.08480000000003,75.99474
tibia_l_center,-59.2122,413.0000000000001,-79.58449999999998
tibia_r_center,-59.2122,413.00000000000017,79.58449999999996
pelvis_origin_in_ground,0.58789,926.126,0.0
ilium_r,-68.681055,1010.1893982723784,93.12606217949435
ilium_l,-68.6811,1010.1813473741225,-93.12610000000001
isch_spine_r,-109.19377362980731,860.2081228004508,50.20121974964064
isch_spine_l,-109.194,860.208,-50.2012
isch_tuber_r,-115.0,826.0000000000001,46.0
isch_tuber_l,-115.0,826.0000000000001,-46.0
isch_infer_r,-74.0,797.0,35.0
isch_infer_l,-74.0,797.0,-35.0
pub_infer_c,-25.31049184792282,825.3465440486291,0.0
gr_troch_as_r,-56.922221,838.1089,126.4292
gr_troch_as_l,-56.922220562603925,838.1089018285811,-126.42923698818134
gr_troch_lat_r,-78.276,826.51,137.26
gr_troch_lat_l,-78.276,826.51,-137.26
femur_r_midshaft_anter,-28.276,651.51,107.25999999999999
femur_r_midshaft_poster,-49.07288163192144,651.51,107.25999999999999
femur_l_midshaft_anter,-28.276,651.51,-107.25999999999999
femur_l_midshaft_poster,-50.276,651.51,-107.25999999999999
patella_sup_r,-10.746860350747,484.9136470854621,78.70059903680034
patella_sup_l,-10.746846254555436,484.91412461716055,-78.70063830836331
patella_lat_r,-8.006929536085027,468.75452417491107,104.25999999999999
patella_med_r,-11.60692720967409,468.75043147979267,50.26
patella_lat_l,-8.006929536085027,468.75452417491107,-104.25999999999999
patella_med_l,-11.60692720967409,468.75043147979267,-50.26
patella_r_anter,3.1787636908829264,468.43728502711895,76.36341874588574
patella_l_anter,3.1787311235083258,468.44364050144844,-76.3634
ankle_r_center,-63.435080000000006,65.0283000000001,80.26203999999998
ankle_l_center,-63.435100000000006,65.0283000000001,-80.26198999999998
talus_r_center_in_tibia,-66.27646000000003,47.08480000000081,75.99474000000004
talus_l_center_in_tibia,-66.27646000000003,47.084800000000314,-75.99473999999998
tibia_r_midshaft_anter,-33.764559999999996,247.08480000000006,87.47503999999999
tibia_r_midshaft_poster,-59.455560000000006,247.08480000000006,76.53637099999999
fibula_r_midshaft_anter,-70.27646,247.08480000000006,102.29333999999999
tibia_l_midshaft_anter,-33.764559999999996,239.01380000000006,-87.47503999999999
tibia_l_midshaft_poster,-59.12809688098251,239.01380000000006,-76.63996157940612
fibula_l_midshaft_anter,-70.27646,247.08480000000006,-103.54603999999998
fibula_r_as,-61.687649719785455,383.7343717345787,94.8931222966317
fibula_l_as,-61.861617899991685,384.5020809874614,-95.74231332427281
tibia_r_epiph_yellow_posteriormost,-83.83300000000001,411.00000000000006,79.58449999999999
tibia_r_epiph_yellow_anterior_plate,-39.71696808321269,420.7930807125499,79.58449999999999
tibia_r_epiph_yellow_patel_tend_point,-30.27646,384.08480000000003,75.99474
tibia_r_epiph_green_medial_lower_epiph,-59.2122,388.00000000000006,60.0
tibia_l_epiph_yellow_posteriormost,-83.83300000000001,411.00000000000006,-79.58449999999999
tibia_l_epiph_yellow_anterior_plate,-39.717,420.79299999999995,-79.58449999999999
tibia_l_epiph_yellow_patel_tend_point,-30.27646,384.08480000000003,-75.99474
tibia_l_epiph_green_medial_lower_epiph,-59.2122,388.00000000000006,-60.0
tibia_r_ankle_yellow_anter,-43.679613935119725,77.08480000000012,77.26207849498358
tibia_l_ankle_yellow_anter,-43.67966000000001,77.08480000000012,-74.72739999999999
torso_origin_in_pelvis,-100.7,1011.5000000000001,0.0
fibula_r_lat_malleol_tip,-75.74136000000001,40.99880000000012,98.00083999999998
fibula_l_lat_malleol_tip,-75.74131509598922,40.99902291700119,-98.00079913024781
tibia_r_med_malleol_tip,-53.44011393126773,53.180154708208136,57.27410140477087
tibia_l_med_malleol_tip,-53.440110000000004,53.179800000000114,-57.27413999999999
pub_super_c,0.0,849.5532000000001,0.0
ls_troch_r,-83.315,796.1677999999999,86.71148
ls_troch_l,-83.3150374382245,796.1678409897501,-86.71148424565465
femur_r_poster_diaph_25,-72.27600000000001,751.51,119.26
femur_l_poster_diaph_25,-72.27600000000001,751.51,-119.26
femur_r_poster_diaph_75,-46.275999999999996,551.51,92.25999999999999
femur_l_poster_diaph_75,-46.275999999999996,551.51,-92.25999999999999
tibia_r_anter_diaph_25,-31.82686,347.08480000000003,86.44273999999999
tibia_l_anter_diaph_25,-31.82686,347.08480000000003,-86.44283999999999
tibia_r_anter_diaph_75,-38.94436,147.08480000000012,83.52167999999999
tibia_l_anter_diaph_75,-38.94436,147.08480000000012,-83.5217
fibula_r_anter_diaph_75,-67.66896335222651,147.08480000000012,98.59703999999998
fibula_l_anter_diaph_75,-66.0818566395513,147.08480000000012,-98.59703999999998
femur_r_anter_diaph_25,-44.48840957754294,750.649,113.29539999999999
femur_l_anter_diaph_25,-44.4884,750.649,-118.21034204748761
gr_troch_ps_r,-89.14,850.9350999999999,112.765
gr_troch_ps_l,-89.14,850.9350999999999,-112.765
sacroiliac_r,-120.55293435385383,939.2442290469559,36.66608738211169
sacroiliac_l,-120.553,939.24423,-36.6661
5th_sacr_v,-130.95161324748227,868.2541218935396,0.0
femur_r_anter_diaph_75,-22.702599999999997,551.51,92.25999999999999
femur_l_anter_diaph_75,-22.702599999999997,551.51,-92.25999999999999
AIIS_r,-24.0,891.0,93.0
AIIS_l,-24.0,891.0,-93.0
