,body,name,location
0,femur_l,femur_l_center,[0. 0. 0.]
1,femur_l,knee_l_lat,[ 0.00000000000000003 -0.3852862743106984  -0.03768534793357912]
2,femur_l,knee_l_med,[ 0.00000000000000004 -0.3863533757541799   0.03768534793357911]
3,femur_l,gr_troch_as_l,[-0.00008911509876037 -0.01113958512290395 -0.04851939881168115]
4,femur_l,gr_troch_lat_l,[-0.01912832377447571 -0.0164011381042765  -0.06125025982423576]
5,femur_l,gr_troch_ps_l,[-0.02721593746263148  0.00969212375442325 -0.03849405071134096]
6,femur_l,ls_troch_l,[-0.02781421005184002 -0.04671844142310391 -0.01121851481375058]
7,femur_l,knee_l_center_in_femur_l,[ 0.00007896905263737 -0.38581476414165355  0.00140648103639067]
8,femur_l,femur_l_midshaft_anter,[ 0.0145585295289317  -0.20068845720543024 -0.02524585811980632]
9,femur_l,femur_l_midshaft_poster,[-0.00458201527144959 -0.19490602400013968 -0.02716358063666471]
10,femur_l,femur_l_anter_diaph_25,[ 0.00305159098163761 -0.10089850147818046 -0.03806112389786405]
11,femur_l,femur_l_poster_diaph_25,[-0.02081003756548476 -0.09253572575590138 -0.04177185348197432]
12,femur_l,femur_l_anter_diaph_75,[ 0.02325548273571787 -0.2963599626543482  -0.01052417704527895]
13,femur_l,femur_l_poster_diaph_75,[ 0.00271628392876405 -0.2902472249207756  -0.012442145497192  ]
14,femur_l,patella_l_in_femur_l,[ 0.03938424791699931 -0.4105813031448494   0.00330035728644763]
