,body,name,location
0,femur_l,addbrev_l-P2,[-0.01065975455863302 -0.11405741132352136 -0.02781700510833311]
1,femur_l,addlong_l-P2,[-0.00159097334534871 -0.23422298058515253 -0.01533013591417016]
2,femur_l,addmagDist_l-P2,[ 0.00112842484708558 -0.25597458892729275 -0.01700726894361809]
3,femur_l,addmagIsch_l-P2,[-0.00060756041722071 -0.36724593701264757  0.03214987390319203]
4,femur_l,addmagMid_l-P2,[-0.00599554260817617 -0.15806054084491553 -0.01853636481395198]
5,femur_l,addmagProx_l-P2,[-0.02015889377719544 -0.07255093525522216 -0.02845297094819729]
6,femur_l,bfsh_l-P1,[-0.00666315730872288 -0.20539054715548177 -0.02304490071808626]
7,femur_l,gaslat_l-P1,[ 0.00259256193418977 -0.3612794307240016  -0.02740373558869567]
8,femur_l,gasmed_l-P1,[ 0.00148087125724379 -0.35475966922713026  0.02173987847133943]
9,femur_l,glmax1_l-P3,[-0.04163861628173622 -0.01982311312523237 -0.03611423784980498]
10,femur_l,glmax1_l-P4,[-0.02739026265598752 -0.04675367110107086 -0.04418690094668614]
11,femur_l,glmax2_l-P3,[-0.04440032850196279 -0.0452002910552622  -0.03114463581948012]
12,femur_l,glmax2_l-P4,[-0.02049427164656848 -0.09419644836773135 -0.04173563315256655]
13,femur_l,glmax3_l-P3,[-0.0362660324213975  -0.10199075852865351 -0.03291385678073666]
14,femur_l,glmax3_l-P4,[-0.01032641615980855 -0.13594124131090876 -0.0236811258715911 ]
15,femur_l,glmed1_l-P2,[-0.01162058579527077 -0.01165525039083488 -0.05968440368410909]
16,femur_l,glmed2_l-P2,[-0.0178231985405154  -0.00167319301843779 -0.05798895745779659]
17,femur_l,glmed3_l-P2,[-0.02508820395870731  0.00577266243934133 -0.05462889573043323]
18,femur_l,glmin1_l-P2,[ 0.00371880274255646 -0.01373041018392499 -0.05453355747139459]
19,femur_l,glmin2_l-P2,[ 0.00420259049247091 -0.00796398684429997 -0.05118880214820502]
20,femur_l,glmin3_l-P2,[-0.0017777033550342   0.0021275831073886  -0.05123215517442607]
21,femur_l,iliacus_l-P3,[-0.00697632411589831 -0.05453173898655513 -0.00530743295791194]
22,femur_l,iliacus_l-P4,[-0.01646524556461634 -0.05893623617924368 -0.01071279238463988]
23,femur_l,piri_l-P3,[-0.01149253341313015  0.00226299082166696 -0.04493167477043623]
24,femur_l,psoas_l-P3,[-0.015277188809595   -0.04223297108598067 -0.00221166316219205]
25,femur_l,psoas_l-P4,[-0.02444194694656329 -0.04479659396290401 -0.00911670750105266]
26,femur_l,sart_l-P2,[-0.02861640502397593 -0.3400041657555181   0.02600182968407539]
27,femur_l,tfl_l-P2,[ 0.02047443938634748 -0.10373974707221015 -0.04820839389434995]
28,femur_l,tfl_l-P3,[ 0.00913333842576536 -0.38892264597334986 -0.03139377684432756]
29,femur_l,vasint_l-P1,[ 0.0156282769763134  -0.1936718658715252  -0.02515216302908619]
30,femur_l,vasint_l-P2,[ 0.019292248071406   -0.2102527478491234  -0.02387137031188009]
31,femur_l,vaslat_l-P1,[-0.00416996965120639 -0.18055876964020745 -0.02705080584065771]
32,femur_l,vaslat_l-P2,[ 0.0197728568325105  -0.2563147357159418  -0.03366500097673779]
33,femur_l,vasmed_l-P1,[ 0.00027616264089171 -0.20673942513936022 -0.01838664648588775]
34,femur_l,vasmed_l-P2,[ 0.01861569916476913 -0.27636047998286395  0.00187310279032052]
