name,body,location
torso_origin_in_pelvis,pelvis,[-0.08524411771008981  0.0673508290538238  -0.00017522164880764]
ASIS_l,pelvis,[ 0.00000000000000001 -0.00000000000000002 -0.11677679402320794]
ASIS_r,pelvis,[-0.00000000000000001  0.00000000000000002  0.11677679402320794]
PSIS_l,pelvis,[-0.11967530373131052  0.02473243897968205 -0.041877463524152  ]
PSIS_r,pelvis,[-0.12016709184423088  0.02691068101480557  0.04587824508744343]
pub_infer_c,pelvis,[-0.02235714221149928 -0.1038951667808901   0.00272643321918274]
pub_super_c,pelvis,[-0.00000000000000007 -0.08263743086375527  0.00223086225563383]
ilium_l,pelvis,[-0.06230141718573877  0.06726221352576327 -0.0930479790726094 ]
ilium_r,pelvis,[-0.06315305346407417  0.0712372766328778   0.08830354726493683]
femur_l_center_in_pelvis,pelvis,[-0.04641452774846296 -0.06965681486893982 -0.07622522884466597]
femur_r_center_in_pelvis,pelvis,[-0.0488339179187146  -0.06921299879712821  0.08204794681567319]
sacroiliac_l,pelvis,[-0.1043207204838369   0.01575049053331386 -0.0380589147898012 ]
sacroiliac_r,pelvis,[-0.10485178304865533  0.01757688200743075  0.04208096806959051]
5th_sacr_v,pelvis,[-0.1143274736228319  -0.04387383364221482  0.00334876262178342]
AIIS_l,pelvis,[-0.0193006709301401  -0.03297440207191571 -0.08782649138696741]
AIIS_r,pelvis,[-0.02043951906792919 -0.03303826538841243  0.09124245886417819]
isch_infer_l,pelvis,[-0.06320121568090363 -0.12323810823513025 -0.03367794762927429]
isch_infer_r,pelvis,[-0.06475926966192624 -0.12291605678849454  0.0405773045790051 ]
isch_spine_l,pelvis,[-0.09384563943504498 -0.05524302353879675 -0.05160743570922059]
isch_spine_r,pelvis,[-0.09572291631241543 -0.05398580706361573  0.0580049424003498 ]
isch_tuber_l,pelvis,[-0.09880509863230412 -0.08749885798741269 -0.04666701136570386]
isch_tuber_r,pelvis,[-0.10077729728937942 -0.08651521147402512  0.05382303415700894]
femur_l_center,femur_l,[0. 0. 0.]
knee_l_lat,femur_l,[ 0.00000000000000003 -0.3852862743106984  -0.03768534793357912]
knee_l_med,femur_l,[ 0.00000000000000004 -0.3863533757541799   0.03768534793357911]
gr_troch_as_l,femur_l,[-0.00008911509876037 -0.01113958512290395 -0.04851939881168115]
gr_troch_lat_l,femur_l,[-0.01912832377447571 -0.0164011381042765  -0.06125025982423576]
gr_troch_ps_l,femur_l,[-0.02721593746263148  0.00969212375442325 -0.03849405071134096]
ls_troch_l,femur_l,[-0.02781421005184002 -0.04671844142310391 -0.01121851481375058]
knee_l_center_in_femur_l,femur_l,[ 0.00007896905263737 -0.38581476414165355  0.00140648103639067]
femur_l_midshaft_anter,femur_l,[ 0.0145585295289317  -0.20068845720543024 -0.02524585811980632]
femur_l_midshaft_poster,femur_l,[-0.00458201527144959 -0.19490602400013968 -0.02716358063666471]
femur_l_anter_diaph_25,femur_l,[ 0.00305159098163761 -0.10089850147818046 -0.03806112389786405]
femur_l_poster_diaph_25,femur_l,[-0.02081003756548476 -0.09253572575590138 -0.04177185348197432]
