,body,name,location
0,pelvis,torso_origin_in_pelvis,[-0.08524411771008981  0.0673508290538238  -0.00017522164880764]
1,pelvis,ASIS_l,[ 0.00000000000000001 -0.00000000000000002 -0.11677679402320794]
2,pelvis,ASIS_r,[-0.00000000000000001  0.00000000000000002  0.11677679402320794]
3,pelvis,PSIS_l,[-0.11967530373131052  0.02473243897968205 -0.041877463524152  ]
4,pelvis,PSIS_r,[-0.12016709184423088  0.02691068101480557  0.04587824508744343]
5,pelvis,pub_infer_c,[-0.02235714221149928 -0.1038951667808901   0.00272643321918274]
6,pelvis,pub_super_c,[-0.00000000000000007 -0.08263743086375527  0.00223086225563383]
7,pelvis,ilium_l,[-0.06230141718573877  0.06726221352576327 -0.0930479790726094 ]
8,pelvis,ilium_r,[-0.06315305346407417  0.0712372766328778   0.08830354726493683]
9,pelvis,femur_l_center_in_pelvis,[-0.04641452774846296 -0.06965681486893982 -0.07622522884466597]
10,pelvis,femur_r_center_in_pelvis,[-0.0488339179187146  -0.06921299879712821  0.08204794681567319]
11,pelvis,sacroiliac_l,[-0.1043207204838369   0.01575049053331386 -0.0380589147898012 ]
12,pelvis,sacroiliac_r,[-0.10485178304865533  0.01757688200743075  0.04208096806959051]
13,pelvis,5th_sacr_v,[-0.1143274736228319  -0.04387383364221482  0.00334876262178342]
14,pelvis,AIIS_l,[-0.0193006709301401  -0.03297440207191571 -0.08782649138696741]
15,pelvis,AIIS_r,[-0.02043951906792919 -0.03303826538841243  0.09124245886417819]
16,pelvis,isch_infer_l,[-0.06320121568090363 -0.12323810823513025 -0.03367794762927429]
17,pelvis,isch_infer_r,[-0.06475926966192624 -0.12291605678849454  0.0405773045790051 ]
18,pelvis,isch_spine_l,[-0.09384563943504498 -0.05524302353879675 -0.05160743570922059]
19,pelvis,isch_spine_r,[-0.09572291631241543 -0.05398580706361573  0.0580049424003498 ]
20,pelvis,isch_tuber_l,[-0.09880509863230412 -0.08749885798741269 -0.04666701136570386]
21,pelvis,isch_tuber_r,[-0.10077729728937942 -0.08651521147402512  0.05382303415700894]
