,body,name,location
0,pelvis,addbrev_r-P1,[-0.01529755336289432 -0.09393128226665584  0.02705622183128708]
1,pelvis,addlong_r-P1,[-0.00453412238459011 -0.09002657711374282  0.03430730781980641]
2,pelvis,addmagDist_r-P1,[-0.06549963628879511 -0.11852659908828682  0.04555726686753316]
3,pelvis,addmagIsch_r-P1,[-0.08160364660700148 -0.11950959341117763  0.04947537746090194]
4,pelvis,addmagMid_r-P1,[-0.04475644065024599 -0.11399990098026207  0.034381712816756  ]
5,pelvis,addmagProx_r-P1,[-0.02645655410582044 -0.10549732744051415  0.0215615376694322 ]
6,pelvis,bflh_r-P1,[-0.10104486490344561 -0.11068538922645041  0.06996738119163402]
7,pelvis,glmax1_r-P1,[-0.10065485852865597  0.03959288360617707  0.06113266495092459]
8,pelvis,glmax1_r-P2,[-0.1083645627404083  -0.0082219584560614   0.08570292260145214]
9,pelvis,glmax2_r-P1,[-0.1138182377619853   0.01936861508702453  0.05274026009996095]
10,pelvis,glmax2_r-P2,[-0.11919173461784055 -0.04123800872841463  0.09143665016207228]
11,pelvis,glmax3_r-P1,[-0.14363292580920164 -0.03838036601909914  0.01318060134616061]
12,pelvis,glmax3_r-P2,[-0.11389063284945407 -0.10931834505902578  0.05469196436750531]
13,pelvis,glmed1_r-P1,[-0.03695622119345424  0.02967225413392096  0.11070821651091498]
14,pelvis,glmed2_r-P1,[-0.06963413863761296  0.05234650775087721  0.08164007074950091]
15,pelvis,glmed3_r-P1,[-0.07945516261324498  0.02210955816887126  0.06837978980969583]
16,pelvis,glmin1_r-P1,[-0.01675016523875996  0.0065137052664498   0.11422842307473358]
17,pelvis,glmin2_r-P1,[-0.04411573087473365  0.0164446184711039   0.10066516384600258]
18,pelvis,glmin3_r-P1,[-0.06175836087486011 -0.00581507179765497  0.08311404001365401]
19,pelvis,grac_r-P1,[-0.04062174690765076 -0.12306083812970804  0.03148957260195014]
20,pelvis,iliacus_r-P1,[-0.04480921325813236  0.03189493481635058  0.0841745779295118 ]
21,pelvis,iliacus_r-P2,[-0.00951026144002704 -0.05181120020388479  0.0873791433965396 ]
22,pelvis,piri_r-P1,[-0.10671808688848892 -0.00159422319645468  0.01638946252434963]
23,pelvis,piri_r-P2,[-0.08983132137871448 -0.01828466167819669  0.06722838491280385]
24,pelvis,psoas_r-P1,[-0.04900155902466623  0.05186213022808257  0.0391619873041967 ]
25,pelvis,psoas_r-P2,[-0.01754889093656621 -0.06171284748343906  0.06639192297762224]
26,pelvis,recfem_r-P1,[-0.02043930448161988 -0.03303823551444535  0.09124272739412473]
27,pelvis,sart_r-P1,[-0.00504948122694268 -0.00897009613712276  0.10578080217502193]
28,pelvis,semimem_r-P1,[-0.09519162049208987 -0.10547900147761688  0.07183330688431178]
29,pelvis,semiten_r-P1,[-0.09896956451767137 -0.11583591483286507  0.06240752950872733]
30,pelvis,tfl_r-P1,[-0.01461009536083748  0.01537210214320153  0.12039789545640374]
31,pelvis,addbrev_l-P1,[-0.01486091290545225 -0.09340215846184988 -0.02235473494605624]
32,pelvis,addlong_l-P1,[-0.00408869706932663 -0.08922424616025892 -0.03008060764927561]
33,pelvis,addmagDist_l-P1,[-0.0635278806102741  -0.11849751033721483 -0.03926417123753858]
34,pelvis,addmagIsch_l-P1,[-0.07866007826322788 -0.119552753892983   -0.04386740968589972]
35,pelvis,addmagMid_l-P1,[-0.04385977121316868 -0.11415054154027021 -0.02800670542066126]
36,pelvis,addmagProx_l-P1,[-0.02611946743155626 -0.1052814033821092  -0.01594883883751667]
37,pelvis,bflh_l-P1,[-0.09580279669093393 -0.1102534353632429  -0.06730982100182271]
38,pelvis,glmax1_l-P1,[-0.1000942786457551   0.03691441848830525 -0.05803667284861413]
39,pelvis,glmax1_l-P2,[-0.10606919545313065 -0.01104228581583921 -0.08023278904092623]
40,pelvis,glmax2_l-P1,[-0.11296531603695319  0.0170060243094077  -0.04842148098171364]
41,pelvis,glmax2_l-P2,[-0.11609211780257123 -0.04363941708871504 -0.08519632319203888]
42,pelvis,glmax3_l-P1,[-0.14022667342052564 -0.04019629524093311 -0.00959976313022139]
43,pelvis,glmax3_l-P2,[-0.11021652583140865 -0.10943709725464511 -0.04744666787819351]
44,pelvis,glmed1_l-P1,[-0.03706976276347178  0.02696359009104966 -0.10920189652175957]
45,pelvis,glmed2_l-P1,[-0.06930364368475438  0.04920132036933723 -0.08198394511329078]
46,pelvis,glmed3_l-P1,[-0.0788899788026622   0.02000267016028522 -0.0643778414649854 ]
47,pelvis,glmin1_l-P1,[-0.01754561178117104  0.00539839694243303 -0.11007614346291376]
48,pelvis,glmin2_l-P1,[-0.04405657626422127  0.01410438235522812 -0.09654022306183688]
49,pelvis,glmin3_l-P1,[-0.06077429083567351 -0.0076900336161113  -0.07745770125663062]
50,pelvis,grac_l-P1,[-0.04009430473802182 -0.12315161166741086 -0.0245187988848731 ]
51,pelvis,iliacus_l-P1,[-0.04466973196892403  0.02938585700482519 -0.08168968515896978]
52,pelvis,iliacus_l-P2,[-0.00813723325946728 -0.05120506027257397 -0.07999206094522097]
53,pelvis,piri_l-P1,[-0.10563564364904542 -0.00237641545289086 -0.01326540122234191]
54,pelvis,piri_l-P2,[-0.08762083202157617 -0.02019965027107951 -0.06173048338914407]
55,pelvis,psoas_l-P1,[-0.04841483927591717  0.05032814424561823 -0.03895055633626121]
56,pelvis,psoas_l-P2,[-0.01283840954855924 -0.06104598485501454 -0.05844642251518494]
57,pelvis,recfem_l-P1,[-0.01923259969450846 -0.03274993075590329 -0.08804725608913835]
58,pelvis,sart_l-P1,[-0.00565844644601882 -0.00944405284070174 -0.09957541944054012]
59,pelvis,semimem_l-P1,[-0.09029847740708132 -0.10523275359456381 -0.06903558562634846]
60,pelvis,semiten_l-P1,[-0.09429133650962371 -0.1154526306084274  -0.05860148220371372]
61,pelvis,tfl_l-P1,[-0.01490740829607792  0.01424157078186557 -0.11955350526344065]
