,body,name,location
0,pelvis,Gmax1_at_pelvis_r,[-0.06998507725186126 -0.08995881353376066  0.0673761942277222 ]
1,pelvis,Gmax2_at_pelvis_r,[-0.07075699466260997 -0.07208239817644099  0.07486205590660458]
2,pelvis,Gmax3_at_pelvis_r,[-0.07423856868000948 -0.07707045564097134  0.07534480327130522]
3,pelvis,Gmax1_at_pelvis_l,[-0.06678399544987851 -0.09021091550645274 -0.06285878961244219]
4,pelvis,Gmax2_at_pelvis_l,[-0.06823137498441353 -0.07265644527335412 -0.06946061363917974]
5,pelvis,Gmax3_at_pelvis_l,[-0.07147531903712309 -0.07759399666333071 -0.07026280900053143]
6,pelvis,PS_at_brim_r,[-0.06377295762968353 -0.04963737244388138  0.07028157069505883]
7,pelvis,PS_at_brim_l,[-0.06163910826636306 -0.0503870465802396  -0.06427013790793748]
8,pelvis,IL_at_brim_r,[-0.06112438571846972 -0.05422729403168248  0.08058430228503854]
9,pelvis,IL_at_brim_l,[-0.05903204175674581 -0.05497591961134154 -0.07478380005174745]
