,body,name,location
0,tibia_l,bflh_l-P2,[-0.02840838665974607 -0.03377741845483104 -0.02367283065265045]
1,tibia_l,bflh_l-P3,[-0.02389437174495015 -0.04335077414252652 -0.02970313908133368]
2,tibia_l,bfsh_l-P2,[-0.02504400976888146 -0.04016711605446111 -0.03117395390762547]
3,tibia_l,edl_l-P1,[-0.01387544131977009 -0.10960983657229555 -0.01821756769016441]
4,tibia_l,edl_l-P2,[ 0.02086257081554327 -0.3605628215553581  -0.01792203657692732]
5,tibia_l,ehl_l-P1,[-0.01271504346625177 -0.14813988724744864 -0.01491431899566474]
6,tibia_l,ehl_l-P2,[ 0.00737429948520804 -0.2792425005751114  -0.01471750473947158]
7,tibia_l,ehl_l-P3,[ 0.02466224386905084 -0.3536830072800811  -0.00063998530305746]
8,tibia_l,fdl_l-P1,[-0.00226118967894783 -0.17492810526943095  0.00947015970256939]
9,tibia_l,fdl_l-P2,[-0.00692887323710585 -0.3487563890491572   0.02305328517637747]
10,tibia_l,fhl_l-P1,[-0.02870886971733208 -0.20825476827450648 -0.0155442381886228 ]
11,tibia_l,fhl_l-P2,[-0.01236760846466652 -0.3513499146102108   0.01935294136612271]
12,tibia_l,grac_l-P2,[-0.01595907619612909 -0.04262780621579532  0.03747710342173392]
13,tibia_l,grac_l-P3,[ 0.00394991005341881 -0.06229332662694363  0.02373330339421597]
14,tibia_l,perbrev_l-P1,[-0.02214057483135274 -0.2437790588243384  -0.02224185504678028]
15,tibia_l,perbrev_l-P2,[-0.0190197202981909  -0.37318812312033184 -0.01417969678614522]
16,tibia_l,perbrev_l-P3,[-0.01444290658509667 -0.38381101031909515 -0.01871792865234476]
17,tibia_l,perlong_l-P1,[-0.01789540364049335 -0.1312348698881935  -0.02638724824140133]
18,tibia_l,perlong_l-P2,[-0.01727791179894398 -0.37383977000989116 -0.01394182570686257]
19,tibia_l,perlong_l-P3,[-0.01350437073076552 -0.38474885613965365 -0.01814679706001424]
20,tibia_l,recfem_l-P5,[ 0.0319718186872644  -0.05622841957505761 -0.00241115269989132]
21,tibia_l,sart_l-P3,[-0.02285444195844173 -0.03629321842208214  0.04561261076608504]
22,tibia_l,sart_l-P4,[-0.01348886719208067 -0.05389088770982241  0.03374739060577516]
23,tibia_l,sart_l-P5,[ 0.01489187323124487 -0.07335904648507084  0.00841990360427657]
24,tibia_l,semimem_l-P2,[-0.02586838961718082 -0.03815490199229447  0.02564316682331359]
25,tibia_l,semiten_l-P2,[-0.02822533874029083 -0.04652218675209519  0.02933974925822707]
26,tibia_l,semiten_l-P3,[ 0.00396236932753474 -0.06978430650259103  0.01962014269444391]
27,tibia_l,soleus_l-P1,[-0.00575375255602576 -0.0852247000373978  -0.00729369506621994]
28,tibia_l,tfl_l-P4,[ 0.01174751830239804 -0.03806607309635836 -0.04019123120990924]
29,tibia_l,tibant_l-P1,[ 0.0150470327359829  -0.12393505499963024 -0.01350361358765891]
30,tibia_l,tibant_l-P2,[ 0.02290605758025368 -0.18228909760490652 -0.00887227690002454]
31,tibia_l,tibant_l-P3,[ 0.02636590253835148 -0.35025622002006984  0.0041467974077297 ]
32,tibia_l,tibpost_l-P1,[-0.0029660373887694  -0.12329793372456425 -0.00509941151416635]
33,tibia_l,tibpost_l-P2,[-0.00580026423704938 -0.34956946732545885  0.02840533461844357]
34,tibia_l,vasint_l-P5,[ 0.03176673812428847 -0.05639610358592563 -0.00453096435100967]
35,tibia_l,vaslat_l-P5,[ 0.03076115126112317 -0.05709338402023084 -0.01595903924518645]
36,tibia_l,vasmed_l-P5,[ 0.03226797713418763 -0.05617212649224172  0.01055061304812299]
