,body,name,location
0,tibia_r,bflh_r-P2,[-0.0287131151946471  -0.03563913644037137  0.023298298830737  ]
1,tibia_r,bflh_r-P3,[-0.02407812702726746 -0.04488690044668885  0.02897458153202576]
2,tibia_r,bfsh_r-P2,[-0.02527604455205221 -0.04175645479867944  0.0304235372426244 ]
3,tibia_r,edl_r-P1,[-0.01492142654736578 -0.10691513038483672  0.01631299560133335]
4,tibia_r,edl_r-P2,[ 0.0221178474381823  -0.36346436035420343  0.01371398290561256]
5,tibia_r,ehl_r-P1,[-0.01340006847683023 -0.1424527156237227   0.01386574800864353]
6,tibia_r,ehl_r-P2,[ 0.0067945434006625  -0.277772869713782    0.01250029018414012]
7,tibia_r,ehl_r-P3,[ 0.02349236402095464 -0.35635965439511813 -0.00094342959899925]
8,tibia_r,fdl_r-P1,[-0.00273442694131074 -0.16772386445305099 -0.00914431670847375]
9,tibia_r,fdl_r-P2,[-0.00965228154394307 -0.3523411383781763  -0.01932506263930441]
10,tibia_r,fhl_r-P1,[-0.02957344225782183 -0.2023343778651414   0.0160873627278874 ]
11,tibia_r,fhl_r-P2,[-0.01554323920769379 -0.3550621221663457  -0.01527962623969855]
12,tibia_r,grac_r-P2,[-0.01564150750149277 -0.04413912467070307 -0.03568772555701195]
13,tibia_r,grac_r-P3,[ 0.00431051485182839 -0.06261331598407353 -0.02306936168394478]
14,tibia_r,perbrev_r-P1,[-0.023007985796309   -0.23981487297128626  0.02182527460734878]
15,tibia_r,perbrev_r-P2,[-0.02456210611865375 -0.3769932806529881   0.01731681751402353]
16,tibia_r,perbrev_r-P3,[-0.01864081253346294 -0.38783780023102127  0.02051895306809441]
17,tibia_r,perlong_r-P1,[-0.01884632588849874 -0.12695548010639682  0.02469699250748373]
18,tibia_r,perlong_r-P2,[-0.02240100599094388 -0.3776543362703969   0.01672363593930888]
19,tibia_r,perlong_r-P3,[-0.01723361686053712 -0.3888235371743505   0.01968838623330863]
20,tibia_r,recfem_r-P5,[ 0.03182710925298343 -0.05455524313745803  0.00254264141033721]
21,tibia_r,sart_r-P3,[-0.02243607985305886 -0.03799912958133873 -0.04375548326223364]
22,tibia_r,sart_r-P4,[-0.01326717700462209 -0.05512049986520234 -0.03212466106109203]
23,tibia_r,sart_r-P5,[ 0.01534645503673224 -0.07243245033143879 -0.0093303358783592 ]
24,tibia_r,semimem_r-P2,[-0.02583914910330903 -0.04009380781422328 -0.02441131809406939]
25,tibia_r,semiten_r-P2,[-0.02823733162021216 -0.0484028621359719  -0.02800727724058282]
26,tibia_r,semiten_r-P3,[ 0.00421307038864492 -0.06971765366977248 -0.0194800301828371 ]
27,tibia_r,soleus_r-P1,[-0.00658238953788238 -0.08418745370002752  0.00529876002020562]
28,tibia_r,tfl_r-P4,[ 0.01168955888328298 -0.03755719658719101  0.03884300134357075]
29,tibia_r,tibant_r-P1,[ 0.01504371838051537 -0.11899836499517887  0.01185047028089645]
30,tibia_r,tibant_r-P2,[ 0.02270210579040895 -0.17391975085608172  0.00754759842302296]
31,tibia_r,tibant_r-P3,[ 0.02405684696714901 -0.35261163746337115 -0.00758745652271068]
32,tibia_r,tibpost_r-P1,[-0.00357191106369968 -0.11919382493702863  0.00380114945475242]
33,tibia_r,tibpost_r-P2,[-0.00837030446105788 -0.3532408347360199  -0.0245454803543552 ]
34,tibia_r,vasint_r-P5,[ 0.03156279034775562 -0.05465413864224334  0.00459629539514309]
35,tibia_r,vaslat_r-P5,[ 0.03021143445333808 -0.05497472773584329  0.01573810017935844]
36,tibia_r,vasmed_r-P5,[ 0.03243108210332106 -0.0548888678389859  -0.01011921043893774]
