name,body,location
Gmax1_at_pelvis_r,pelvis,[-0.06998507725186126 -0.08995881353376066  0.0673761942277222 ]
Gmax2_at_pelvis_r,pelvis,[-0.07075699466260997 -0.07208239817644099  0.07486205590660458]
Gmax3_at_pelvis_r,pelvis,[-0.07423856868000948 -0.07707045564097134  0.07534480327130522]
Gmax1_at_pelvis_l,pelvis,[-0.06678399544987851 -0.09021091550645274 -0.06285878961244219]
Gmax2_at_pelvis_l,pelvis,[-0.06823137498441353 -0.07265644527335412 -0.06946061363917974]
Gmax3_at_pelvis_l,pelvis,[-0.07147531903712309 -0.07759399666333071 -0.07026280900053143]
PS_at_brim_r,pelvis,[-0.06377295762968353 -0.04963737244388138  0.07028157069505883]
PS_at_brim_l,pelvis,[-0.06163910826636306 -0.0503870465802396  -0.06427013790793748]
IL_at_brim_r,pelvis,[-0.06112438571846972 -0.05422729403168248  0.08058430228503854]
IL_at_brim_l,pelvis,[-0.05903204175674581 -0.05497591961134154 -0.07478380005174745]
Gastroc_at_condyles_l,femur_l,[ 0.00491409081854452 -0.3927539560294537   0.00087281465044682]
KnExt_at_fem_l,femur_l,[ 0.00317467500776376 -0.3854617207579414  -0.00160854935011082]
AB_at_femshaft_l,femur_l,[ 0.00384673572581732 -0.11332375938595332 -0.02378692911931095]
AL_at_femshaft_l,femur_l,[ 0.01517001207756495 -0.23238259593241845 -0.01257223800735108]
AMprox_at_femshaft_l,femur_l,[-0.00242315114142473 -0.0723962098657673  -0.01913271673537458]
AMmid_at_femshaft_l,femur_l,[ 0.00992149729192922 -0.1620065692977843  -0.0138008094769766 ]
AMdist_at_femshaft_l,femur_l,[ 0.01644424974394348 -0.2600582539914958  -0.0061505703961273 ]
AMisch_at_condyles_l,femur_l,[-0.02477748962981944 -0.3498476820721461  -0.00339665182596885]
PECT_at_femshaft_l,femur_l,[-0.00234968381592252 -0.08375928111542727 -0.02814000636585636]
Gastroc_at_condyles_r,femur_r,[ 0.00458274815899079 -0.38317986023742107 -0.00033901904923373]
KnExt_at_fem_r,femur_r,[ 0.00314306150831891 -0.37600315010031404  0.00175886214292241]
AB_at_femshaft_r,femur_r,[ 0.00304762862140094 -0.11188204076295273  0.02543978375470484]
AL_at_femshaft_r,femur_r,[ 0.01574980555060338 -0.22823577256076566  0.01510446691923355]
AMprox_at_femshaft_r,femur_r,[ 0.0009713540403034  -0.07122113994665513  0.01949825778663157]
AMmid_at_femshaft_r,femur_r,[ 0.00842201976599103 -0.16004377204655482  0.01711809734724726]
AMdist_at_femshaft_r,femur_r,[ 0.01714125644725882 -0.2549686309592464   0.00863137229154371]
AMisch_at_condyles_r,femur_r,[-0.02193839355380946 -0.34351137869106935  0.00151192611230216]
PECT_at_femshaft_r,femur_r,[-0.00016264214774059 -0.08221738873276568  0.02844369798307234]
GasLat_at_shank_l,tibia_l,[-0.00498755870225753 -0.06735643272236638  0.0086586694353219 ]
GasMed_at_shank_l,tibia_l,[-0.00498755870225753 -0.06735643272236638  0.0086586694353219 ]
GR_at_condyles_l,tibia_l,[ 0.0001919148955059  -0.01852500383643542  0.00488763128890686]
SM_at_condyles_l,tibia_l,[ 0.00211027003397072 -0.01844271843716945  0.00497746251493436]
ST_at_condyles_l,tibia_l,[ 0.00114806846607503 -0.01891722894575423  0.00490904474790547]
BF_at_gastroc_l,tibia_l,[-0.05272025322590374 -0.05722628431760677  0.00466110088382533]
GasLat_at_shank_r,tibia_r,[-0.0050707101451532  -0.06775208807654665 -0.00890229004224628]
GasMed_at_shank_r,tibia_r,[-0.0050707101451532  -0.06775208807654665 -0.00890229004224628]
GR_at_condyles_r,tibia_r,[-0.00020923429545877 -0.01887869903246033 -0.00445312817626044]
SM_at_condyles_r,tibia_r,[ 0.0017132871004124  -0.01869121119155844 -0.00456983288642663]
ST_at_condyles_r,tibia_r,[ 0.00076223618292591 -0.01923843935986596 -0.00449914412421515]
BF_at_gastroc_r,tibia_r,[-0.05392964993269184 -0.05945826392915243 -0.00414641856803498]
