name,r,a,s
femur_l_center,-73.09705766705704,-34.60509322287027,689.6881628249339
knee_l_lat,-110.0715454927259,-22.26696034494538,304.5305894238521
knee_l_med,-34.71017882324923,-20.93963109684449,303.64565340008016
gr_troch_as_l,-121.58727065213498,-35.15006049937223,678.4350470525117
gr_troch_lat_l,-133.97902607084944,-54.216474203421484,672.5049125681167
gr_troch_ps_l,-111.13483661662005,-62.787731990820554,698.3658756380903
ls_troch_l,-83.74983781234107,-61.017261981604406,642.0330084229744
knee_l_center_in_femur_l,-70.98595958519262,-21.500455630431173,304.09922575184277
femur_l_midshaft_anter,-98.22228051669968,-13.726493427920238,489.54329469910846
femur_l_midshaft_poster,-99.82098724629549,-33.08107605799271,494.67349125374045
femur_l_anter_diaph_25,-111.02030445019939,-28.80761343729574,588.8581794767706
femur_l_poster_diaph_25,-114.33524668038606,-52.99758087973877,596.4040049380735
femur_l_anter_diaph_75,-83.47731922609051,-1.5594745894517217,394.2545146002623
femur_l_poster_diaph_75,-85.05281261707427,-22.322846589941257,399.66774440859336
patella_l_in_femur_l,-69.72328140095728,18.64378580628597,280.67448047411926
