name,r,a,s
femur_r_center,90.88989900072053,-37.991341544507804,692.7355983619407
knee_r_lat,121.5387018072577,-22.374529075175346,316.84197291348374
knee_r_med,46.91263730961116,-19.822386313049375,316.40525690191254
gr_troch_as_r,138.73119846723537,-38.692883128442645,682.2989102423661
gr_troch_lat_r,150.29287897433085,-57.76251587494615,677.4340612310452
gr_troch_ps_r,127.34103916101903,-66.21976804249014,703.132014115474
ls_troch_r,100.73265123999064,-64.33606279510147,646.7748107584215
knee_r_center_in_femur_r,82.82015545256859,-20.969544592635824,316.6508242795732
femur_r_midshaft_anter,115.39804787970456,-15.766158832674089,495.4665434760118
femur_r_midshaft_poster,116.16031378832257,-34.07341106018285,500.9871450793006
femur_r_anter_diaph_25,124.00704656036686,-32.19374617165014,593.0125911533744
femur_r_poster_diaph_25,131.19544141047226,-56.354607003398954,601.7282783755977
femur_r_anter_diaph_75,98.90448569283271,-2.160620366179357,402.77391773565415
femur_r_poster_diaph_75,99.53271321366148,-22.914842044240448,408.94101389843576
patella_r_in_femur_r,83.2730970380276,19.206365037727302,292.12835639742144
