name,r,a,s,body,group
addbrev_l-P2,-100.50490584577074,-41.90225664394711,575.2296721880448,femur_l,muscle
addlong_l-P2,-87.99144856819476,-28.570657778451277,455.39425019429154,femur_l,muscle
addmagDist_l-P2,-89.66925230944798,-25.13713634825399,433.9999745331229,femur_l,muscle
addmagIsch_l-P2,-40.198658429435454,-22.345678310564836,322.2887291668958,femur_l,muscle
addmagMid_l-P2,-91.23016325546814,-35.5981472968632,531.3956004818083,femur_l,muscle
addmagProx_l-P2,-101.06551174505239,-52.79267305909889,616.4304345424898,femur_l,muscle
bfsh_l-P1,-95.66581261977808,-34.73545336525058,484.0472874970401,femur_l,muscle
gaslat_l-P1,-99.88002123438855,-20.30909946704196,328.63579611746263,femur_l,muscle
gasmed_l-P1,-50.73656750052851,-20.79770572027337,335.23275809504776,femur_l,muscle
glmax1_l-P3,-108.46420314175612,-76.16043467719282,668.3811910895711,femur_l,muscle
glmax1_l-P4,-116.72920436723689,-61.15267845973722,641.9346203583154,femur_l,muscle
glmax2_l-P3,-103.4090102922026,-77.97510349782897,642.9432805255856,femur_l,muscle
glmax2_l-P4,-114.30130739559536,-52.62552819925986,594.7552074922205,femur_l,muscle
glmax3_l-P3,-105.19534980010212,-67.97213137822837,586.4554038473325,femur_l,muscle
glmax3_l-P4,-96.34814919817472,-40.74876629078426,553.4197013497578,femur_l,muscle
glmed1_l-P2,-132.5490317337758,-46.84806557293632,677.5057292576057,femur_l,muscle
glmed2_l-P2,-130.766034701237,-53.353584797445365,687.2770710308505,femur_l,muscle
glmed3_l-P2,-127.29744971114997,-60.80558657000438,694.4838626201599,femur_l,muscle
glmin1_l-P2,-127.66044386238673,-31.35976370431308,675.9660570641754,femur_l,muscle
glmin2_l-P2,-124.33531188329243,-31.013821559463395,681.7509380224183,femur_l,muscle
glmin3_l-P2,-124.29202946269379,-37.33217395046813,691.6337310379713,femur_l,muscle
iliacus_l-P3,-78.18263020579366,-39.830828522975935,634.9373474288877,femur_l,muscle
iliacus_l-P4,-83.4170865344081,-49.25601636103238,630.2054289052649,femur_l,muscle
piri_l-P3,-117.82613330683489,-46.93702689539714,691.4524135504071,femur_l,muscle
psoas_l-P3,-74.96467349295054,-48.48811996563745,646.9590574294052,femur_l,muscle
psoas_l-P4,-81.7084900233279,-57.67696176408208,644.071692616144,femur_l,muscle
sart_l-P2,-45.98444534693408,-51.29768555609189,343.06681637226393,femur_l,muscle
tfl_l-P2,-121.46160035360026,-11.462059662633692,586.6641903632917,femur_l,muscle
tfl_l-P3,-103.94537353728992,-12.957699826700264,301.1890476222952,femur_l,muscle
vasint_l-P1,-98.15519827097341,-12.894640168911792,496.5808794389204,femur_l,muscle
vasint_l-P2,-96.91277406970403,-8.650265169770137,480.203616672924,femur_l,muscle
vaslat_l-P1,-99.7359188247774,-33.15069027163008,509.05066871296367,femur_l,muscle
vaslat_l-P2,-106.60500587357637,-6.749859025763726,434.98382104952293,femur_l,muscle
vasmed_l-P1,-91.11449817961329,-27.690132943132994,482.86457460397924,femur_l,muscle
