name,r,a,s
knee_l_center,-72.88489264561693,-19.55515438000814,307.13141173025366
fibula_l_lat_malleol_tip,-123.65749816414065,-24.00075865530401,-80.47951461542581
tibia_l_med_malleol_tip,-73.8622960411183,-5.513295716024649,-69.69711974072271
ankle_l_lat,-141.48568580218836,-21.34382943600634,-59.1732930799498
ankle_l_med,-59.18078892607328,-8.657803177293717,-56.836905447467046
ankle_l_center,-100.50199382488539,-14.948897979536095,-58.05284748914582
talus_l_center_in_tibia,-96.93820682739411,-16.359210003398086,-75.18366611229612
tibia_l_center,-80.32579325766791,-21.811123330833695,276.6268498827036
tibia_l_lat,-120.94600020131705,-20.26143668958504,277.96464177381614
tibia_l_med,-39.01347194064628,-23.848843246472846,274.8909994201707
tibia_l_epiph_yellow_anterior_plate,-78.94548001012619,-3.4387507160733786,284.6117718593003
tibia_l_epiph_yellow_patel_tend_point,-77.55605340598443,5.070082289543043,251.82860838810743
tibia_l_epiph_yellow_posteriormost,-81.2006346540635,-44.89446888421976,273.36055097614786
tibia_l_ankle_yellow_anter,-92.33946538974013,2.1866370335112513,-46.39001593633751
tibia_l_epiph_green_medial_lower_epiph,-58.9749736674549,-23.021252726710706,253.73597683488816
fibula_l_as,-102.2243348979236,-23.836486286139852,250.82509012457083
tibia_l_midshaft_anter,-94.03502915833907,1.4709429446931601,116.73926758725491
tibia_l_midshaft_poster,-81.78425004860708,-22.57122864798152,115.76774244236913
fibula_l_midshaft_anter,-114.03103039841011,-31.585798439378646,116.12658262226134
tibia_l_anter_diaph_25,-91.8733603256788,3.6437170166482966,215.57090668539382
tibia_l_anter_diaph_75,-96.02326966525972,0.022601051284971807,20.615122236352484
fibula_l_anter_diaph_75,-114.89548473254077,-24.382314795056192,20.417427512199392
