name,r,a,s
bflh_l-P2,-106.61686385351203,-49.68111077460077,274.3644879547195
bflh_l-P3,-113.30061799349173,-44.82806521512281,265.161346182596
bfsh_l-P2,-114.72819547317911,-46.05503064507684,268.3813909786504
edl_l-P1,-105.06411566136214,-33.921875563103065,198.78152487107852
edl_l-P2,-107.47756608466808,6.61485287971109,-51.61803774313843
ehl_l-P1,-103.23386935333836,-32.25930120309374,160.0433539239519
ehl_l-P2,-106.10254263725048,-9.738550917880826,29.285663042919165
ehl_l-P3,-90.21019816757233,8.909178859622624,-45.58571063235877
fdl_l-P1,-78.5615025840126,-22.29511444603032,132.19758178325947
fdl_l-P2,-79.50521654421638,-26.784368178561376,-42.103211647837206
fhl_l-P1,-106.41340743629974,-47.34053626667076,99.75525606343295
fhl_l-P2,-85.61107373126103,-32.538201008602215,-44.5765421153994
grac_l-P2,-42.473793549137824,-38.233204870860426,262.81140929713024
grac_l-P3,-59.87100750265026,-18.63627373192595,244.11865896605605
perbrev_l-P1,-114.50244906276694,-39.9720376560556,64.6633925820475
perbrev_l-P2,-126.15007799284038,-38.626433469813385,-64.87350022933958
perbrev_l-P3,-127.58530078806369,-32.722845603917364,-75.21938801319777
perlong_l-P1,-114.34707288110495,-37.36322785728857,177.449830841181
perlong_l-P2,-124.73208984757856,-36.56033987130844,-65.5165755886858
perlong_l-P3,-125.85774213922804,-31.487005450058586,-76.17501431182733
recfem_l-P5,-76.72554259501136,11.241940279517667,251.86340814142906
sart_l-P3,-33.97995563833706,-44.85343419901851,268.9573165115861
sart_l-P4,-46.97341277617911,-35.730555304253635,251.7746264227143
sart_l-P5,-75.99197782819674,-6.951802395584876,233.95984792879932
semimem_l-P2,-54.237687955123015,-47.54757275133139,267.7388016295203
semiten_l-P2,-50.98020281779138,-49.80736844329224,259.23104207217057
semiten_l-P3,-65.1802688137821,-18.377834409360005,236.86604540916377
soleus_l-P1,-91.82630719001736,-26.410612204149743,222.761858139778
tfl_l-P4,-116.69253323461801,-7.553246913243025,271.4543744956488
tibant_l-P1,-99.29501324151701,-4.886152061512316,184.4705911318104
tibant_l-P2,-95.32699740568626,3.8824849796496634,126.05073809546789
tibant_l-P3,-78.76957960144298,11.322851768305485,-42.51069973007752
tibpost_l-P1,-92.81954246382679,-23.374162642968987,184.55583459974883
tibpost_l-P2,-73.49899771685928,-25.74810496635614,-43.160549617072654
vasint_l-P5,-77.80169803978806,11.256977595234869,251.79987421764875
vaslat_l-P5,-83.36564940981343,11.448241452751716,251.6703057169549
vasmed_l-P5,-69.27349421999358,10.26139913871468,251.29387545855283
